Model,Dataset,Rows,R2,MAE,RMSE
Ordinary least squares,Training,4904,0.22340401918594643,0.25337935270402123,0.29303994099445585
Ordinary least squares,Testing,1226,0.25341353744060346,0.24875164938271838,0.28935734925244827
Ordinary least squares,IBMECA Trial 1,5,-0.27601642396933745,0.16067975388844305,0.22685578064071216
Ordinary least squares,IBMECA Trial 3,9,0.23004173871905542,0.1293866299482268,0.16649479049269564
Ridge (alpha=1.0),Training,4904,0.223387524363574,0.25338470840681004,0.2930430530477164
Ridge (alpha=1.0),Testing,1226,0.2534044997173346,0.24875695083366423,0.2893591006395047
Ridge (alpha=1.0),IBMECA Trial 1,5,-0.27724304476050743,0.1607227448869322,0.22696479145377849
Ridge (alpha=1.0),IBMECA Trial 3,9,0.22965960450532008,0.12932793312593047,0.16653610147464382
Lasso (alpha=0.001),Training,4904,0.22202190213728523,0.2538561748447242,0.2933005884004734
Lasso (alpha=0.001),Testing,1226,0.25258502388669746,0.24927787181788774,0.2895178598052442
Lasso (alpha=0.001),IBMECA Trial 1,5,-0.39495731226557296,0.1685736513833754,0.2371931687081463
Lasso (alpha=0.001),IBMECA Trial 3,9,0.19314165148537588,0.12456805659676332,0.17043771621005335
"Elastic Net (alpha=0.001, l1_ratio=0.15)",Training,4904,0.22319237330450403,0.25346858689249063,0.2930798693955091
"Elastic Net (alpha=0.001, l1_ratio=0.15)",Testing,1226,0.2533188537110094,0.24885090195127219,0.28937569713698075
"Elastic Net (alpha=0.001, l1_ratio=0.15)",IBMECA Trial 1,5,-0.2979247559691718,0.1614316107254719,0.22879497195752924
"Elastic Net (alpha=0.001, l1_ratio=0.15)",IBMECA Trial 3,9,0.22365328264602025,0.1284280368498764,0.16718407945218378
Huber robust regression,Training,4904,0.2215513263929495,0.25187440870749617,0.2933892793792572
Huber robust regression,Testing,1226,0.25023672500016103,0.24726816497600737,0.28997232038160853
Huber robust regression,IBMECA Trial 1,5,-0.40355841256962344,0.16932644696306748,0.2379232939609243
Huber robust regression,IBMECA Trial 3,9,0.19300776107488815,0.12401896784667708,0.1704518568762666
